,latitude,longitude,city,state,status,population,county,countyfips,country
62,37.7907045380001,-122.431294533,SAN FRANCISCO,CA,OPEN,309,SAN FRANCISCO,06075,USA
63,37.77408876,-122.453751642,SAN FRANCISCO,CA,OPEN,403,SAN FRANCISCO,06075,USA
64,38.471793006,-122.72706436,SANTA ROSA,CA,OPEN,173,SONOMA,06097,USA
65,38.12690208,-122.248377304,VALLEJO,CA,OPEN,248,SOLANO,06095,USA
66,38.663925024,-121.792145249,WOODLAND,CA,OPEN,108,YOLO,06113,USA
67,37.8201396110001,-122.26400415,OAKLAND,CA,OPEN,75,ALAMEDA,06001,USA
68,37.712288347,-122.143493689,SAN LEANDRO,CA,OPEN,93,ALAMEDA,06001,USA
69,37.6334419930001,-122.087912534,HAYWARD,CA,OPEN,217,ALAMEDA,06001,USA
70,37.9765963,-121.291070926,STOCKTON,CA,OPEN,35,SAN JOAQUIN,06077,USA
71,37.970467188,-121.288182762,STOCKTON,CA,OPEN,364,SAN JOAQUIN,06077,USA
72,34.132654576,-117.871259716,GLENDORA,CA,OPEN,105,LOS ANGELES,06037,USA
73,34.128165628,-118.256643169,GLENDALE,CA,OPEN,334,LOS ANGELES,06037,USA
74,34.0985736490001,-118.294175331,LOS ANGELES,CA,OPEN,460,LOS ANGELES,06037,USA
75,34.2185641940001,-118.430219294,PANORAMA CITY,CA,OPEN,218,LOS ANGELES,06037,USA
76,34.170393216,-118.531904059,TARZANA,CA,OPEN,249,LOS ANGELES,06037,USA
77,34.067204777,-118.286392079,LOS ANGELES,CA,OPEN,60,LOS ANGELES,06037,USA
78,33.833640007,-118.079677951,HAWAIIAN GARDENS,CA,OPEN,107,LOS ANGELES,06037,USA
79,38.935618855,-122.620144532,CLEARLAKE,CA,OPEN,32,LAKE,06033,USA
80,36.8840478340001,-119.800242412,MADERA,CA,OPEN,356,MADERA,06039,USA
81,33.7633520680001,-116.406241091,RANCHO MIRAGE,CA,OPEN,489,RIVERSIDE,06065,USA
82,37.252078736,-121.946576875,SAN JOSE,CA,OPEN,404,SANTA CLARA,06085,USA
83,37.3354013750001,-121.998873047,SANTA CLARA,CA,OPEN,327,SANTA CLARA,06085,USA
84,37.436004575,-122.175390036,PALO ALTO,CA,OPEN,302,SANTA CLARA,06085,USA
85,37.488847836,-122.223390131,REDWOOD CITY,CA,OPEN,149,SAN MATEO,06081,USA
86,37.9830895790001,-122.033496796,CONCORD,CA,OPEN,245,CONTRA COSTA,06013,USA
87,37.9822344500001,-121.802978505,ANTIOCH,CA,OPEN,145,CONTRA COSTA,06013,USA
88,38.601797751,-121.393144026,SACRAMENTO,CA,OPEN,287,SACRAMENTO,06067,USA
89,39.228016294,-121.047499779,GRASS VALLEY,CA,OPEN,104,NEVADA,06057,USA
90,33.8475141810001,-118.038302332,LA PALMA,CA,OPEN,141,ORANGE,06059,USA
92,39.143106319,-121.618012022,YUBA CITY,CA,OPEN,46,SUTTER,06101,USA
106,33.9343517980001,-118.13090396,DOWNEY,CA,OPEN,199,LOS ANGELES,06037,USA
107,33.8393481160001,-118.359721519,TORRANCE,CA,OPEN,115,LOS ANGELES,06037,USA
108,34.050130832,-117.264094455,LOMA LINDA,CA,OPEN,343,SAN BERNARDINO,06071,USA
785,34.131899548,-116.275139237,JOSHUA TREE,CA,OPEN,179,SAN BERNARDINO,06071,USA
786,32.852345105,-116.974114223,SANTEE,CA,OPEN,192,SAN DIEGO,06073,USA
787,35.4627176130001,-120.634890612,ATASCADERO,CA,OPEN,1275,SAN LUIS OBISPO,06079,USA
788,38.627095508,-122.864401979,HEALDSBURG,CA,OPEN,43,SONOMA,06097,USA
789,34.5828776330001,-118.144366873,PALMDALE,CA,OPEN,157,LOS ANGELES,06037,USA
790,34.0975093230001,-117.834635766,SAN DIMAS,CA,OPEN,101,LOS ANGELES,06037,USA
791,34.100868785,-118.105918785,SAN GABRIEL,CA,OPEN,273,LOS ANGELES,06037,USA
792,33.7195022650001,-117.168033041,SUN CITY,CA,OPEN,84,RIVERSIDE,06065,USA
793,33.9190012010001,-117.459856099,RIVERSIDE,CA,OPEN,77,RIVERSIDE,06065,USA
794,38.7303997820001,-121.286174766,ROSEVILLE,CA,OPEN,16,PLACER,06061,USA
795,36.8601259070001,-119.788571731,FRESNO,CA,OPEN,57,FRESNO,06019,USA
796,36.8399745140001,-119.760553493,FRESNO,CA,OPEN,62,FRESNO,06019,USA
797,40.1016781590001,-123.792254629,GARBERVILLE,CA,OPEN,17,HUMBOLDT,06023,USA
