,longitude,latitude
408,-114.330669,34.445295
409,-114.32613,34.437250999999996
410,-114.319054,34.435831
411,-114.312251,34.432725999999995
412,-114.301016,34.426807
413,-114.294836,34.421389
414,-114.292226,34.417606
415,-114.291751,34.411104
416,-114.290219,34.408291
417,-114.288663,34.406622999999996
418,-114.286802,34.405339999999995
419,-114.280108,34.403147
420,-114.267521,34.402485999999996
421,-114.264317,34.401329
422,-114.252739,34.390100000000004
423,-114.248649,34.388113
424,-114.245261,34.385659
425,-114.234275,34.376661999999996
426,-114.229686,34.368908
427,-114.226107,34.365916
428,-114.213774,34.36246
429,-114.199482,34.361373
430,-114.19109399999999,34.356125
431,-114.185556,34.354386
432,-114.181145,34.352185999999996
433,-114.176909,34.349306
434,-114.172845,34.344978999999995
435,-114.168807,34.339513
436,-114.157206,34.317862
437,-114.14093,34.305918999999996
438,-114.138282,34.30323
439,-114.138167,34.300936
440,-114.139534,34.295843999999995
441,-114.138365,34.288564
442,-114.13605,34.280833
443,-114.137045,34.277018
444,-114.136671,34.274377
445,-114.134768,34.268965
446,-114.134427,34.266387
447,-114.134612,34.263518
448,-114.136185,34.261296
449,-114.139055,34.259538
450,-114.144779,34.259623
451,-114.147159,34.259564
452,-114.153346,34.258289
453,-114.156853,34.258415
454,-114.159697,34.258241999999996
455,-114.161826,34.257038
456,-114.163122,34.255187
457,-114.163867,34.253349
458,-114.164476,34.251667
459,-114.166536,34.249646999999996
460,-114.173119,34.247226
461,-114.174322,34.245467999999995
462,-114.175948,34.242695
463,-114.176403,34.241512
464,-114.17805,34.239968999999995
465,-114.190876,34.230858
466,-114.208253,34.215505
467,-114.211761,34.211539
468,-114.215454,34.208956
469,-114.223384,34.205135999999996
470,-114.225194,34.203641999999995
471,-114.225861,34.201774
472,-114.224941,34.193895999999995
473,-114.227034,34.188866
474,-114.229715,34.186928
475,-114.240712,34.183232
476,-114.244191,34.179625
477,-114.254141,34.173831
478,-114.268267,34.17021
479,-114.275267,34.172149999999995
480,-114.287294,34.170529
481,-114.292806,34.166725
482,-114.312206,34.144776
483,-114.32077699999999,34.138635
484,-114.324576,34.136759
485,-114.336112,34.134035
486,-114.348052,34.134457999999995
487,-114.353031,34.133120999999996
488,-114.356373,34.130429
489,-114.360402,34.123577
490,-114.366521,34.118575
491,-114.369297,34.117517
492,-114.379234,34.115988
493,-114.390565,34.110084
494,-114.401352,34.111652
495,-114.405941,34.11154
496,-114.411681,34.110031
497,-114.415908,34.107636
498,-114.420499,34.103466
499,-114.426168,34.097042
500,-114.428026,34.092787
501,-114.43338,34.088412999999996
502,-114.434181,34.087379
503,-114.435429,34.079727
504,-114.43768299999999,34.071937
505,-114.43934,34.057893
506,-114.439406,34.05381
507,-114.438602,34.050205
508,-114.435504,34.042615
509,-114.434949,34.037783999999995
510,-114.436171,34.028082999999995
511,-114.438266,34.022608999999996
512,-114.44054,34.019329
513,-114.443821,34.016176
514,-114.450206,34.012574
515,-114.454807,34.010968
516,-114.458906,34.010835
517,-114.46117,34.010081
518,-114.46283,34.008421
519,-114.463132,34.00661
520,-114.46283,34.004497
521,-114.460415,33.999215
522,-114.460264,33.996649
523,-114.46117,33.994687
524,-114.462377,33.993781
525,-114.466187,33.993465
526,-114.467932,33.992877
527,-114.471138,33.98804
528,-114.475907,33.984424
529,-114.481455,33.981260999999996
530,-114.482333,33.980181
531,-114.483097,33.977745
532,-114.484784,33.975519
533,-114.495047,33.966834999999996
534,-114.499883,33.961788999999996
535,-114.509568,33.957263999999995
536,-114.511231,33.95704
537,-114.51586,33.958106
538,-114.522002,33.955622999999996
539,-114.52868,33.947817
540,-114.535478,33.934650999999995
541,-114.534987,33.928498999999995
542,-114.533679,33.926072
543,-114.528385,33.923674
544,-114.525361,33.922272
545,-114.518434,33.917518
546,-114.511511,33.911092
547,-114.508558,33.906098
548,-114.50792,33.903807
549,-114.507988,33.901813
550,-114.508708,33.900639999999996
551,-114.510944,33.899099
552,-114.513715,33.897959
553,-114.516314,33.896195999999996
554,-114.517808,33.894889
555,-114.518741,33.893208
556,-114.518928,33.891714
557,-114.51855499999999,33.889846999999996
558,-114.517808,33.888166999999996
559,-114.516501,33.885926
560,-114.512467,33.882884
561,-114.50434,33.876882
562,-114.503395,33.875018
563,-114.503017,33.867998
564,-114.50388699999999,33.865753999999995
565,-114.505638,33.864276
566,-114.514673,33.858638
567,-114.516811,33.85812
568,-114.52453,33.858477
569,-114.526771,33.857357
570,-114.528451,33.854929
571,-114.529385,33.851755
572,-114.529597,33.848062999999996
573,-114.525539,33.838614
574,-114.523409,33.835322999999995
575,-114.520465,33.827777999999995
576,-114.51997,33.825381
577,-114.520733,33.822030999999996
578,-114.522714,33.818979
579,-114.527161,33.816190999999996
580,-114.52805,33.814963
581,-114.520094,33.799473
582,-114.516734,33.788345
583,-114.507089,33.76793
584,-114.504863,33.760464999999996
585,-114.50434,33.756381
586,-114.504483,33.750997999999996
587,-114.506,33.746344
588,-114.508206,33.741586999999996
589,-114.512348,33.734214
590,-114.510265,33.732146
591,-114.506799,33.730518
592,-114.504176,33.728055
593,-114.502661,33.724584
594,-114.500788,33.722204
595,-114.496565,33.719155
596,-114.494901,33.71443
597,-114.494197,33.707921999999996
598,-114.495719,33.698454
599,-114.496489,33.696901
600,-114.504993,33.693022
601,-114.512409,33.691282
602,-114.519113,33.688473
603,-114.523959,33.685879
604,-114.527782,33.682684
605,-114.530348,33.679245
606,-114.53152299999999,33.675108
607,-114.530999,33.671102
608,-114.529706,33.668031
609,-114.52830399999999,33.666044
610,-114.526947,33.664297999999995
611,-114.525977,33.662941
612,-114.525201,33.661583
613,-114.525007,33.659642999999996
614,-114.525201,33.658091999999996
615,-114.525783,33.657122
616,-114.526947,33.655571
617,-114.52830399999999,33.653048999999996
618,-114.530244,33.65014
619,-114.53005,33.647619
620,-114.52908,33.644127999999995
621,-114.527917,33.641413
622,-114.526947,33.637533999999995
623,-114.526947,33.633072999999996
624,-114.528498,33.630164
625,-114.529856,33.627448
626,-114.529662,33.622794
627,-114.527938,33.618839
628,-114.525783,33.616588
629,-114.524619,33.61426
630,-114.524813,33.611351
631,-114.526782,33.608830999999995
632,-114.529186,33.60665
